id,Date,Dew point temperature,feat01,feat02,feat03,feat04,feat05,feat06,feat07,feat08,feat10,Functioning Day,Holiday,Hour,Humidity,Rainfall,Rented Bike Count,Seasons,Snowfall,Solar Radiation,Temperature,Visibility,Wind speed
1,08/11/2018,8.8,0.5853820776101202,0.02614000393077731,0.9203496370464563,0.31511392816901207,0.9773422293365002,0.16979105467908084,0.656922225696398,0.4243663174167811,0.09445270383730531,Yes,No Holiday,8,89,0,148,Autumn,0,0.02,10.6,689,1.5
2,26/09/2018,8.9,0.7309307304676622,0.06643708841875196,0.34951529069803655,0.4567330239806324,0.8228114715311676,0.47154054953716695,0.4246459481349858,0.38284026678405425,0.26527143525891006,Yes,No Holiday,7,62,0,335,Autumn,0,0.01,16.3,2000,2
3,12/01/2018,-18.5,0.8269072009716183,0.3250774806365371,0.7721663154661655,0.9181938434485346,0.9943588117603213,0.23957263794727623,0.5356471114178846,0.5599414882240868,0.5210448254365474,Yes,No Holiday,22,39,0,186,Winter,0,0,-6.9,2000,1.6
4,26/07/2018,24.8,0.11577757284976542,0.793062447803095,0.2593724331818521,0.7976597130764276,0.10902674379758537,0.6574586811475456,0.5229081109990847,0.6813196869553011,0.85781166004017,Yes,No Holiday,21,74,0,1868,Summer,0,0,30,1056,2.7
5,26/05/2018,9.1,0.3192876414395869,0.8424436976201832,0.001954414648935199,0.9762239700648934,0.8985763306263834,0.03634210047312081,0.5252819899530919,0.6743635376450796,0.1983599355444312,Yes,No Holiday,13,31,0,1441,Spring,0,3.29,27.8,1326,2
6,20/07/2018,22.1,0.7645295611582696,0.7692161456216127,0.6611407289747149,0.6141008134000003,0.1532561369240284,0.1964607599657029,0.5493316614958921,0.5469154149425387,0.2760000084526837,Yes,No Holiday,14,52,0,741,Summer,0,2.67,33.4,685,2.7
7,28/03/2018,6.2,0.8525818379130214,0.8243729809764773,0.716247639618814,0.29215760505758226,0.8816270709503442,0.7584522631950676,0.5771971657676032,0.44694419609548347,0.031179790617898107,Yes,No Holiday,9,66,0,723,Spring,0,0.91,12.4,546,1
8,11/03/2018,-8.8,0.5453740637749434,0.1968221366405487,0.268881990108639,0.4361980080138892,0.8588035034481436,0.5342493446078151,0.5731036131006035,0.3730015075389886,0.8313897708430886,Yes,No Holiday,20,32,0,530,Spring,0,0,6.7,1722,1.9
9,09/08/2018,24.1,0.7694824903737754,0.6647707377560437,0.3558106895070523,0.4461351912468672,0.9395706648938358,0.5616338069085032,0.5719936930782481,0.398697876981337,0.17884230613708496,Yes,No Holiday,22,82,0,1494,Summer,0,0,27.5,1228,0.4
10,16/03/2018,-1,0.20492628519423306,0.5764698314014822,0.3369462478440255,0.468623835593462,0.3406396680511534,0.6069105775095522,0.5579930669975846,0.33373369525425833,0.5561162845697254,Yes,No Holiday,4,62,0,85,Spring,0,0,5.7,2000,2.4
11,17/05/2018,19.3,0.8328123395331204,0.44949466502293944,0.36867235135287046,0.46216519898734987,0.7791829351335764,0.6682987082749605,0.5925227567560766,0.4424690990118696,0.9152022022753954,Yes,No Holiday,9,98,10,28,Spring,0,0.05,19.7,659,0.5
