iter	Logloss
0	0.6849751685
1	0.6773183962
2	0.6694037958
3	0.6616696407
4	0.6552487467
5	0.6475061607
6	0.6408130417
7	0.6342688292
8	0.627150434
9	0.6201522872
10	0.6136075371
11	0.6078852324
12	0.6013405397
13	0.5954926396
14	0.589642589
15	0.5844910005
16	0.5794252694
17	0.5733544127
18	0.5683950866
19	0.5632331002
20	0.5584072108
21	0.5529161141
22	0.5476434107
23	0.5433539738
24	0.5390733103
25	0.5345750984
26	0.5302612771
27	0.5264633167
28	0.5223556834
29	0.5185599443
30	0.5142980969
31	0.5106333356
32	0.5070025106
33	0.5030650925
34	0.4996180824
35	0.4960688625
36	0.4922164025
37	0.4893429558
38	0.4861173595
39	0.4828446149
40	0.4794225314
41	0.4761484519
42	0.4728198403
43	0.4697176767
44	0.4670394136
45	0.4641900235
46	0.4610677396
47	0.4579995899
48	0.4553793223
49	0.4526281355
50	0.450256981
51	0.4477823209
52	0.4449252495
53	0.4427129969
54	0.4405504426
55	0.4383402574
56	0.4359041279
57	0.4333579278
58	0.4314182413
59	0.4290334673
60	0.4266921655
61	0.4247430302
62	0.4226059256
63	0.4203078973
64	0.4180549249
65	0.416079672
66	0.4144820394
67	0.4126678786
68	0.4107867545
69	0.4088544231
70	0.4070977579
71	0.4054927613
72	0.4039801651
73	0.4023952266
74	0.4009446424
75	0.3995402109
76	0.3979164491
77	0.3966043514
78	0.3949659502
79	0.3937533663
80	0.3923033416
81	0.3908814402
82	0.3893906373
83	0.3878769962
84	0.3866002629
85	0.3851661439
86	0.3837395292
87	0.3823829544
88	0.3812988183
89	0.3797618616
90	0.3784554073
91	0.3773841493
92	0.3764180355
93	0.3752888388
94	0.3743405022
95	0.3731258916
96	0.3720712689
97	0.3709114588
98	0.3697185961
99	0.3685942697
100	0.3675527304
101	0.3665923317
102	0.3657225631
103	0.3647042298
104	0.3637925582
105	0.3628156654
106	0.3619151096
107	0.3610022678
108	0.3600936866
109	0.3592000327
110	0.3582508709
111	0.3573752111
112	0.3565023926
113	0.3557467515
114	0.354907376
115	0.3540711513
116	0.3532679466
117	0.3524956038
118	0.3517100571
119	0.3510477755
120	0.3503566159
121	0.349641017
122	0.3489452524
123	0.3482539035
124	0.3473525177
125	0.34673846
126	0.3460259973
127	0.3453538819
128	0.3447128908
129	0.3441016396
130	0.3434726901
131	0.3428526052
132	0.3421362732
133	0.3416274389
134	0.341065626
135	0.3405327633
136	0.3398824335
137	0.3393297701
138	0.338726824
139	0.3380570365
140	0.3374762023
141	0.3368369992
142	0.3363035555
143	0.3358644557
144	0.3352222703
145	0.3346800512
146	0.3341386423
147	0.3336294041
148	0.3331449672
149	0.3326466822
150	0.3321446013
151	0.3316636794
152	0.3311125645
153	0.3305593552
154	0.329960206
155	0.3294419919
156	0.3289411316
157	0.3284263161
158	0.3280635854
159	0.3276663728
160	0.3270760809
161	0.3266681874
162	0.3261867858
163	0.3257102649
164	0.325305001
165	0.3248150727
166	0.3244019139
167	0.3238995365
168	0.323479853
169	0.3230812701
170	0.3227398843
171	0.3223383391
172	0.321830958
173	0.3214204238
174	0.3209982469
175	0.3205644149
176	0.3201361553
177	0.3197676843
178	0.3193297238
179	0.318935555
180	0.3186056182
181	0.3182360326
182	0.3178510477
183	0.3174325342
184	0.3170986624
185	0.3167786745
186	0.3164718783
187	0.3160809797
188	0.3156446758
189	0.3153011292
190	0.3149317476
191	0.3145922258
192	0.3143173118
193	0.3139786223
194	0.3136690703
195	0.3133815041
196	0.3130422008
197	0.3127087021
198	0.3123419409
199	0.3119881899
200	0.3116559852
201	0.3114045401
202	0.3111064195
203	0.3107700509
204	0.3103771712
205	0.3100495699
206	0.3096652675
207	0.3092413632
208	0.3088812394
209	0.308591824
210	0.3082788106
211	0.3079911455
212	0.3076475474
213	0.3073508444
214	0.3070293261
215	0.3067590999
216	0.3064405716
217	0.3061220364
218	0.3058408101
219	0.3055562248
220	0.3052647398
221	0.3049895488
222	0.3047340948
223	0.3044365212
224	0.3042219871
225	0.3039198734
226	0.3036210965
227	0.3033696859
228	0.3031818025
229	0.3028621804
230	0.3026338885
231	0.3023808202
232	0.3021197227
233	0.301868244
234	0.3016457263
235	0.3013438629
236	0.3010887927
237	0.3008384535
238	0.300579718
239	0.3003340439
240	0.3000905919
241	0.2999078134
242	0.2996711744
243	0.2993749729
244	0.2990972302
245	0.2987795309
246	0.298527038
247	0.2982935538
248	0.2980640275
249	0.297823212
250	0.297550483
251	0.2973557263
252	0.2970830676
253	0.296876906
254	0.2966394293
255	0.2963835095
256	0.296138192
257	0.2958196532
258	0.2955718964
259	0.2953065928
260	0.2951261186
261	0.294897109
262	0.2945186354
263	0.2942471043
264	0.2939555586
265	0.2936802749
266	0.2934852316
267	0.2932867442
268	0.2930669452
269	0.2928029728
270	0.2925398781
271	0.2923265679
272	0.2921126346
273	0.2918788355
274	0.2916330769
275	0.2913872266
276	0.2911914498
277	0.2910064903
278	0.2908211255
279	0.2906002092
280	0.2903554426
281	0.2900364373
282	0.2898173692
283	0.2896184083
284	0.2894115768
285	0.2892152852
286	0.2890309967
287	0.2888014144
288	0.2885955639
289	0.2884144794
290	0.2882155198
291	0.2880244904
292	0.2878341559
293	0.2876847727
294	0.2874524145
295	0.2873263751
296	0.2871570418
297	0.2869698803
298	0.2867966056
299	0.2865836648
300	0.2864254254
301	0.2862199629
302	0.28602049
303	0.285836717
304	0.2856047014
305	0.2854340268
306	0.2852480889
307	0.2850673058
308	0.2848591673
309	0.2846557748
310	0.2844685449
311	0.2842640474
312	0.2840679807
313	0.2839203882
314	0.2837706741
315	0.2835207305
316	0.2833431161
317	0.2831249599
318	0.2828182913
319	0.2826462034
320	0.282272154
321	0.2820305433
322	0.2818890595
323	0.2816816642
324	0.2814883985
325	0.2813356153
326	0.281100942
327	0.2809460021
328	0.2807785991
329	0.280622444
330	0.2803927215
331	0.2802369771
332	0.2800512472
333	0.2799205426
334	0.2797548348
335	0.2795407595
336	0.2794090279
337	0.2792515924
338	0.2791242433
339	0.2789439613
340	0.2787909316
341	0.2785971161
342	0.2783796872
343	0.2781859805
344	0.2779484968
345	0.2777875104
346	0.2776240548
347	0.2774535967
348	0.277319005
349	0.2771704962
350	0.2769748093
351	0.276786925
352	0.276581989
353	0.2764381809
354	0.276281463
355	0.2761418919
356	0.2760062619
357	0.2757959674
358	0.275636715
359	0.275470847
360	0.275293328
361	0.2751867069
362	0.2749750764
363	0.2747895204
364	0.2746661757
365	0.2745210613
366	0.2743275467
367	0.274111253
368	0.2739385393
369	0.2737340416
370	0.2736002814
371	0.2734265234
372	0.2733075765
373	0.273157615
374	0.2730261469
375	0.2728171207
376	0.2726567296
377	0.2725192596
378	0.2722786298
379	0.2721620584
380	0.2720409918
381	0.2718586671
382	0.271715243
383	0.2715470311
384	0.2713010878
385	0.2711384187
386	0.2709813393
387	0.2708456396
388	0.2707014963
389	0.2705964378
390	0.270434274
391	0.2702713689
392	0.2701663618
393	0.270066875
394	0.2698184968
395	0.2697044075
396	0.2695629085
397	0.2694506846
398	0.2693188289
399	0.2691814336
400	0.2690388989
401	0.2689363287
402	0.268789166
403	0.2686316102
404	0.2685134447
405	0.2683602472
406	0.2681133148
407	0.2679708975
408	0.267844724
409	0.2676844463
410	0.2675604108
411	0.2674503793
412	0.2672863605
413	0.2672091855
414	0.2670673546
415	0.2668821256
416	0.2666666944
417	0.2664896255
418	0.2664049218
419	0.2662063688
420	0.2660732398
421	0.2659400368
422	0.2657683711
423	0.2656009627
424	0.2653875772
425	0.2652201251
426	0.2651112371
427	0.2649718002
428	0.2647734281
429	0.2646278321
430	0.2644620303
431	0.2643393068
432	0.2641854829
433	0.2640286854
434	0.2638853332
435	0.2636991887
436	0.2636069368
437	0.263499418
438	0.2633455695
439	0.2631957933
440	0.2629884777
441	0.2628515663
442	0.2627046509
443	0.2624548724
444	0.2622977449
445	0.2621457325
446	0.2619888546
447	0.2618800497
448	0.2617628806
449	0.2615659109
450	0.2613410793
451	0.2611550219
452	0.2610397405
453	0.2609447542
454	0.2608056116
455	0.2605984102
456	0.2604958859
457	0.2603862811
458	0.2602822731
459	0.2601474679
460	0.2599698036
461	0.2598396116
462	0.2597103918
463	0.2595943692
464	0.259420918
465	0.2593312643
466	0.2592115127
467	0.2591118546
468	0.258937625
469	0.2587984918
470	0.2586567687
471	0.2584851904
472	0.2584216343
473	0.2583049525
474	0.2581305948
475	0.2580393731
476	0.2578816808
477	0.2577865093
478	0.2575596718
479	0.2574248327
480	0.2573058863
481	0.2571931847
482	0.2570453844
483	0.2569084651
484	0.2568028708
485	0.2567306274
486	0.2565890538
